itemname,kindname,countyname,marketname,yyyy,regday,price
[],[],평균,[],2024,07/22,"29,256"
[],[],평균,[],2024,07/23,"29,256"
[],[],평균,[],2024,07/24,"29,256"
[],[],평균,[],2024,07/25,"28,700"
[],[],평균,[],2024,07/26,"28,700"
[],[],평균,[],2024,07/29,"28,700"
[],[],평균,[],2024,07/30,"28,533"
[],[],평균,[],2024,07/31,"27,533"
[],[],평균,[],2024,08/01,"27,756"
[],[],평균,[],2024,08/02,"27,422"
[],[],평균,[],2024,08/05,"27,533"
[],[],평균,[],2024,08/06,"27,533"
[],[],평균,[],2024,08/07,"28,422"
[],[],평균,[],2024,08/08,"28,089"
[],[],평균,[],2024,08/09,"27,589"
[],[],평균,[],2024,08/12,"27,700"
[],[],평균,[],2024,08/13,"27,700"
[],[],평균,[],2024,08/14,"27,033"
[],[],평균,[],2024,08/16,"26,589"
[],[],평균,[],2024,08/19,"26,422"
[],[],평균,[],2024,08/20,"26,422"
[],[],평균,[],2024,08/21,"26,311"
[],[],평균,[],2024,08/22,"26,422"
[],[],평균,[],2024,08/23,"26,644"
[],[],평균,[],2024,08/26,"26,644"
[],[],평균,[],2024,08/27,"26,644"
[],[],평균,[],2024,08/28,"26,311"
[],[],평균,[],2024,08/29,"26,533"
[],[],평균,[],2024,08/30,"26,756"
[],[],평균,[],2024,09/02,"26,644"
[],[],평균,[],2024,09/03,"26,644"
[],[],평균,[],2024,09/04,"26,644"
[],[],평균,[],2024,09/05,"26,389"
[],[],평균,[],2024,09/06,"26,333"
[],[],평균,[],2024,09/09,"26,333"
[],[],평균,[],2024,09/10,"26,333"
[],[],평균,[],2024,09/11,"26,333"
[],[],평균,[],2024,09/12,"26,333"
[],[],평균,[],2024,09/13,"26,222"
[],[],평균,[],2024,09/19,"26,556"
[],[],평균,[],2024,09/20,"27,475"
