itemcategorycode,itemcategoryname,itemcode,itemname,kindcode,kindname,retail_unit,retail_unitsize,productrankcode
500,축산물,4301,소,21,안심,g,100,3
500,축산물,4301,소,21,안심,g,100,3
500,축산물,4301,소,21,안심,g,100,3
500,축산물,4301,소,22,등심,g,100,3
500,축산물,4301,소,22,등심,g,100,3
500,축산물,4301,소,22,등심,g,100,3
500,축산물,4301,소,36,설도,g,100,3
500,축산물,4301,소,36,설도,g,100,3
500,축산물,4301,소,36,설도,g,100,3
500,축산물,4301,소,40,양지,g,100,3
500,축산물,4301,소,40,양지,g,100,3
500,축산물,4301,소,40,양지,g,100,3
500,축산물,4301,소,50,갈비,g,100,3
500,축산물,4301,소,50,갈비,g,100,3
500,축산물,4301,소,50,갈비,g,100,3
500,축산물,4304,돼지,25,앞다리,g,100,1
500,축산물,4304,돼지,27,삼겹살,g,100,1
500,축산물,4304,돼지,28,갈비,g,100,1
500,축산물,4304,돼지,68,목심,g,100,1
500,축산물,4401,수입 소고기,31,갈비,g,100,2
500,축산물,4401,수입 소고기,31,갈비,g,100,2
500,축산물,4401,수입 소고기,37,갈비살,g,100,2
500,축산물,4401,수입 소고기,37,갈비살,g,100,2
500,축산물,4402,수입 돼지고기,27,삼겹살,g,100,1
500,축산물,9901,닭,99,육계(kg),kg,1,1
500,축산물,9903,계란,21,특란10구,구,10,1
500,축산물,9903,계란,23,특란30구,구,30,1
500,축산물,9908,우유,01,흰우유,L,1,1
